"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"411","RF.pc.uni.18","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"412","RF.pc.uni.18","4","0","0","0","1","1",NA,NA,NA,""
"413","RF.pc.uni.18","4","0","0","0","1","1",NA,NA,NA,""
"414","RF.pc.uni.18","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"415","RF.pc.uni.18","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"416","RF.pc.uni.18","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"417","RF.pc.uni.18","4","0","0","0","1","1",NA,NA,NA,""
"418","RF.pc.uni.18","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"419","RF.pc.uni.18","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"420","RF.pc.uni.18","3","0","0","0","1","1",NA,NA,NA,""
"421","RF.pc.uni.2","4","0","0","0","1","1",NA,NA,NA,""
"422","RF.pc.uni.2","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"423","RF.pc.uni.2","4","0","0","0","1","1",NA,NA,NA,""
"424","RF.pc.uni.2","4","0","0","0","1","1",NA,NA,NA,""
"425","RF.pc.uni.2","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"426","RF.pc.uni.2","2","2","1","2","0.571428571428572","-0.408248290463863",NA,NA,NA,""
"427","RF.pc.uni.2","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"428","RF.pc.uni.2","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"429","RF.pc.uni.2","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"430","RF.pc.uni.2","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"431","RF.pc.uni.2","4","0","0","0","1","1",NA,NA,NA,""
"432","RF.pc.uni.2","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"433","RF.pc.uni.2","4","0","0","0","1","1",NA,NA,NA,""
"434","RF.pc.uni.2","4","0","0","0","1","1",NA,NA,NA,""
"435","RF.pc.uni.2","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"436","RF.pc.uni.2","2","2","1","2","0.571428571428572","-0.408248290463863",NA,NA,NA,""
"437","RF.pc.uni.2","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"438","RF.pc.uni.2","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"439","RF.pc.uni.2","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"440","RF.pc.uni.2","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"441","RF.pc.uni.20","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"442","RF.pc.uni.20","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"443","RF.pc.uni.20","4","0","0","0","1","1",NA,NA,NA,""
"444","RF.pc.uni.20","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"445","RF.pc.uni.20","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"446","RF.pc.uni.20","3","1","1","1","0.75","-0.25",NA,NA,NA,""
"447","RF.pc.uni.20","4","0","0","0","1","1",NA,NA,NA,""
"448","RF.pc.uni.20","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"449","RF.pc.uni.20","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"450","RF.pc.uni.20","3","0","0","0","1","1",NA,NA,NA,""
"451","RF.pc.uni.20","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"452","RF.pc.uni.20","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"453","RF.pc.uni.20","4","0","0","0","1","1",NA,NA,NA,""
"454","RF.pc.uni.20","4","0","0","0","1","1",NA,NA,NA,""
"455","RF.pc.uni.20","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"456","RF.pc.uni.20","3","1","1","1","0.75","-0.25",NA,NA,NA,""
"457","RF.pc.uni.20","4","0","0","0","1","1",NA,NA,NA,""
"458","RF.pc.uni.20","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"459","RF.pc.uni.20","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"460","RF.pc.uni.20","3","0","0","0","1","1",NA,NA,NA,""
"461","RF.pc.uni.4","4","0","0","0","1","1",NA,NA,NA,""
"462","RF.pc.uni.4","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"463","RF.pc.uni.4","4","0","0","0","1","1",NA,NA,NA,""
"464","RF.pc.uni.4","4","0","0","0","1","1",NA,NA,NA,""
"465","RF.pc.uni.4","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"466","RF.pc.uni.4","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"467","RF.pc.uni.4","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"468","RF.pc.uni.4","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"469","RF.pc.uni.4","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"470","RF.pc.uni.4","3","0","0","0","1","1",NA,NA,NA,""
"471","RF.pc.uni.4","4","0","0","0","1","1",NA,NA,NA,""
"472","RF.pc.uni.4","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"473","RF.pc.uni.4","4","0","0","0","1","1",NA,NA,NA,""
"474","RF.pc.uni.4","4","0","0","0","1","1",NA,NA,NA,""
"475","RF.pc.uni.4","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"476","RF.pc.uni.4","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"477","RF.pc.uni.4","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"478","RF.pc.uni.4","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"479","RF.pc.uni.4","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"480","RF.pc.uni.4","3","0","0","0","1","1",NA,NA,NA,""
"481","RF.pc.uni.6","4","0","0","0","1","1",NA,NA,NA,""
"482","RF.pc.uni.6","2","2","1","2","0.571428571428572","-0.408248290463863",NA,NA,NA,""
"483","RF.pc.uni.6","4","0","0","0","1","1",NA,NA,NA,""
"484","RF.pc.uni.6","4","0","0","0","1","1",NA,NA,NA,""
"485","RF.pc.uni.6","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"486","RF.pc.uni.6","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"487","RF.pc.uni.6","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"488","RF.pc.uni.6","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"489","RF.pc.uni.6","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"490","RF.pc.uni.6","3","0","0","0","1","1",NA,NA,NA,""
"491","RF.pc.uni.6","4","0","0","0","1","1",NA,NA,NA,""
"492","RF.pc.uni.6","2","2","1","2","0.571428571428572","-0.408248290463863",NA,NA,NA,""
"493","RF.pc.uni.6","4","0","0","0","1","1",NA,NA,NA,""
"494","RF.pc.uni.6","4","0","0","0","1","1",NA,NA,NA,""
"495","RF.pc.uni.6","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"496","RF.pc.uni.6","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"497","RF.pc.uni.6","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"498","RF.pc.uni.6","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"499","RF.pc.uni.6","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"500","RF.pc.uni.6","3","0","0","0","1","1",NA,NA,NA,""
"501","RF.pc.uni.8","4","0","0","0","1","1",NA,NA,NA,""
"502","RF.pc.uni.8","3","1","1","1","0.75","-0.25",NA,NA,NA,""
"503","RF.pc.uni.8","4","0","0","0","1","1",NA,NA,NA,""
"504","RF.pc.uni.8","4","0","0","0","1","1",NA,NA,NA,""
"505","RF.pc.uni.8","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"506","RF.pc.uni.8","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"507","RF.pc.uni.8","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"508","RF.pc.uni.8","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"509","RF.pc.uni.8","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"510","RF.pc.uni.8","3","0","0","0","1","1",NA,NA,NA,""
"511","RF.pc.uni.8","4","0","0","0","1","1",NA,NA,NA,""
"512","RF.pc.uni.8","3","1","1","1","0.75","-0.25",NA,NA,NA,""
"513","RF.pc.uni.8","4","0","0","0","1","1",NA,NA,NA,""
"514","RF.pc.uni.8","4","0","0","0","1","1",NA,NA,NA,""
"515","RF.pc.uni.8","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"516","RF.pc.uni.8","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"517","RF.pc.uni.8","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,""
"518","RF.pc.uni.8","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"519","RF.pc.uni.8","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"520","RF.pc.uni.8","3","0","0","0","1","1",NA,NA,NA,""
"521","RF.unifrac","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"522","RF.unifrac","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"523","RF.unifrac","4","0","0","0","1","1",NA,NA,NA,""
"524","RF.unifrac","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"525","RF.unifrac","4","0","0","0","1","1",NA,NA,NA,""
"526","RF.unifrac","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"527","RF.unifrac","4","0","0","0","1","1",NA,NA,NA,""
"528","RF.unifrac","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"529","RF.unifrac","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"530","RF.unifrac","3","0","0","0","1","1",NA,NA,NA,""
"531","RF.unifrac","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"532","RF.unifrac","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"533","RF.unifrac","4","0","0","0","1","1",NA,NA,NA,""
"534","RF.unifrac","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"535","RF.unifrac","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"536","RF.unifrac","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,""
"537","RF.unifrac","4","0","0","0","1","1",NA,NA,NA,""
"538","RF.unifrac","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,""
"539","RF.unifrac","2","1","1","1","0.666666666666667","-0.333333333333333",NA,NA,NA,""
"540","RF.unifrac","3","0","0","0","1","1",NA,NA,NA,""
"541","SVM.bc","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,"kernel: vanilladot C: 0.25"
"542","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"543","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: rbfdot C: 8"
"544","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.5"
"545","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.5"
"546","SVM.bc","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"kernel: vanilladot C: 0.25"
"547","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
